,p11,p13,p21,p23,m1,m2
59,0.0,0.1111111111111111,0.0,0.4444444444444444,0.13328795449224695,0.13328795449224695
60,0.0,0.1111111111111111,0.0,0.5555555555555556,0.1280071968901207,0.1280071968901207
61,0.0,0.1111111111111111,0.0,0.6666666666666666,0.12327087579400044,0.12327087579400044
62,0.0,0.1111111111111111,0.0,0.7777777777777777,0.11899602700396854,0.11899602700396854
63,0.0,0.1111111111111111,0.0,0.8888888888888888,0.11511583118201624,0.11511583118201624
64,0.0,0.1111111111111111,0.0,1.0,0.11157586385295716,0.11157586385295716
65,0.0,0.1111111111111111,0.1111111111111111,0.0,0.10316782838642695,0.4680570141982821
66,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09275934229362322,0.4155059426543774
67,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.08518699816176059,0.37520943569722115
68,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.07941724247019431,0.34315832838960153
69,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.07486452201082758,0.31695970194708106
70,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.07117215737100922,0.29508543531503256
71,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.06811046402598954,0.2765082706201293
72,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777777,0.0655248679020876,0.26050919958666374
73,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.06330754065472637,0.246568277694485
74,0.0,0.1111111111111111,0.2222222222222222,0.0,0.05633235157095006,0.7095451192435333
75,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.04805248082263182,0.6144691750298085
76,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.04336035596439335,0.5487206526566651
77,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.040349573797344045,0.4992097078716552
78,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.038256292848889026,0.4599648839652183
79,0.0,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.036715780916970045,0.4277701192140546
